GENUS,SPEC,DATE,SEX,LAT_O,LONG_O,ERROR_O,LAT_HR,LONG_HR,ERROR_HR
LASIURUS,CINEREUS,9/6/1937,M,49.6,-119.666667,1,49.605235,-119.674548,1
LASIURUS,CINEREUS,9/6/1937,M,49.6,-119.666667,1,49.605235,-119.674548,1
LASIURUS,CINEREUS,9/16/1898,U,49.2,-124.016667,1,49.214278,-124.032971,1
LASIURUS,CINEREUS,10/14/1932,F,50.233333,-119.366667,1,50.235576,-119.354624,1
LASIURUS,CINEREUS,10/15/1958,M,49.9,-119.483333,1,49.88045,-119.488871,1
LASIURUS,CINEREUS,8/26/2006,U,49.883333,-97.166667,5,49.894598,-97.143259,5
LASIURUS,CINEREUS,6/9/1968,F,49.883333,-97.166667,3,49.894598,-97.143259,5
LASIURUS,CINEREUS,6/11/1968,F,49.883333,-97.166667,3,49.894598,-97.143259,5
LASIURUS,CINEREUS,6/22/2023,U,49.883333,-97.166667,3,49.894598,-97.143259,5
LASIURUS,CINEREUS,7/28/1968,F,49.85,-95.55,3,50.028797,-95.510693,1
LASIURUS,CINEREUS,8/2/2023,U,49.883333,-97.166667,3,49.894598,-97.143259,5
LASIURUS,CINEREUS,6/9/1897,F,49.966667,-98.3,1,49.969663,-98.291189,1
LASIURUS,CINEREUS,8/21/1897,F,49.966667,-98.3,1,49.969663,-98.291189,1
LASIURUS,CINEREUS,8/18/1975,U,47.766667,-65.216667,10,47.780808,-65.070232,3
LASIURUS,CINEREUS,8/24/1970,M,44.631805,-66.715412,5,44.628522,-66.706494,3
LASIURUS,CINEREUS,9/7/1975,F,45.266667,-66.116667,1,45.272461,-66.078846,3
LASIURUS,CINEREUS,8/25/1970,F,45.95,-66.633333,1,45.953247,-66.652132,3
LASIURUS,CINEREUS,6/17/1942,F,65.25,-126.86667,11,65.561851,-119.996931,5
LASIURUS,CINEREUS,7/26/1965,F,46.25,-83.566667,40,46.839997,-83.554512,5
LASIURUS,CINEREUS,7/25/1965,U,49.8,-86.516667,11,49.788328,-86.540441,1
LASIURUS,CINEREUS,8/10/2022,U,44.6,-79.416667,5,44.605978,-79.365158,5
LASIURUS,CINEREUS,9/5/1941,U,43.666667,-79.416667,5,43.660506,-79.312834,1
LASIURUS,CINEREUS,10/15/1970,M,43.666667,-79.416667,5,43.623157,-79.393377,1
LASIURUS,CINEREUS,10/23/2027,F,43.666667,-79.416667,5,43.660506,-79.312834,1
LASIURUS,CINEREUS,10/2/2027,M,43.666667,-79.416667,5,43.692403,-79.450369,5
LASIURUS,CINEREUS,10/22/1954,U,43.666667,-79.416667,5,43.692403,-79.450369,5
LASIURUS,CINEREUS,7/3/2025,F,45.416667,-75.7,5,45.387765,-75.708746,1
LASIURUS,CINEREUS,7/28/1899,M,43.666667,-79.416667,5,43.652638,-79.407966,5
LASIURUS,CINEREUS,8/24/1994,F,45.55,-78.6,5,45.615841,-78.401208,1
LASIURUS,CINEREUS,8/7/1888,U,42.983333,-81.25,3,42.983333,-81.25,3
LASIURUS,CINEREUS,6/15/1947,M,48.8,-87.916667,3,48.8,-87.916667,3
LASIURUS,CINEREUS,9/26/2029,M,42.55,-80.25,1,42.579662,-80.430983,1
LASIURUS,CINEREUS,7/26/1961,M,43.316667,-79.8,1,43.335642,-79.791543,1
LASIURUS,CINEREUS,7/31/1947,F,49.933333,-94.983333,1,49.931861,-94.982833,1
LASIURUS,CINEREUS,7/26/1935,U,44.55,-76.13333,1,44.550373,-76.122552,1
LASIURUS,CINEREUS,9/18/1952,M,44.916667,-77.2,1,44.960167,-77.234743,1
LASIURUS,CINEREUS,11/24/1983,M,46.066667,-79.35,1,46.081455,-79.361334,1
LASIURUS,CINEREUS,8/18/1965,U,43.7,-79.633333,1,43.668026,-79.637673,1
LASIURUS,CINEREUS,10/1/2027,F,43.533333,-79.65,1,43.544065,-79.650918,1
LASIURUS,CINEREUS,9/9/1931,F,43.95,-77.35,1,43.951426,-77.350346,1
LASIURUS,CINEREUS,9/30/1962,F,48.4,-89.233333,1,48.38153,-89.256644,3
LASIURUS,CINEREUS,7/29/1930,F,43.7,-79.4333,1,43.995961,-79.877172,1
LASIURUS,CINEREUS,10/2/1958,U,43.75,-79.2,1,43.764947,-79.203946,3
LASIURUS,CINEREUS,8/10/1981,M,51.483333,-80.466667,1,51.538962,-80.525783,1
LASIURUS,CINEREUS,8/19/1979,U,51.483333,-80.466667,1,51.538962,-80.525783,1
LASIURUS,CINEREUS,8/19/1979,U,51.483333,-80.466667,1,51.538962,-80.525783,1
LASIURUS,CINEREUS,9/1/1964,M,43.866667,-79.033333,1,43.830326,-79.083135,1
LASIURUS,CINEREUS,7/3/2025,F,45.416667,-75.7,5,45.387765,-75.708746,1
LASIURUS,CINEREUS,8/20/1981,M,45.416667,-75.7,5,45.305193,-75.663855,1
LASIURUS,CINEREUS,8/14/2003,M,45.433333,-75.733333,1,45.433333,-75.733333,1
LASIURUS,CINEREUS,8/22/1977,F,50.45,-108.083333,5,50.503098,-108.148434,7
LASIURUS,CINEREUS,8/16/1978,F,50.383333,-102.566667,4,50.375302,-102.523871,1
LASIURUS,CINEREUS,7/31/1982,F,50.45,-104.616667,3,50.45,-104.616667,3
LASIURUS,CINEREUS,7/5/1939,F,53.616667,-105.916667,1,53.616667,-105.916667,1
LASIURUS,CINEREUS,6/22/1982,F,52.65,-106.333333,1,52.661533,-106.336142,1
LASIURUS,CINEREUS,6/26/1945,F,51.216667,-102.466667,1,51.216667,-102.466667,1
LASIURUS,CINEREUS,7/1/1976,F,52.85,-104.05,1,52.85,-104.05,1
LASIURUS,CINEREUS,7/2/1976,J,52.85,-104.05,1,52.85,-104.05,1
LASIURUS,CINEREUS,7/3/1976,J,52.85,-104.05,1,52.85,-104.05,1
LASIURUS,CINEREUS,8/9/1977,M,52.133333,-106.666667,1,52.123713,-106.651981,1
LASIURUS,CINEREUS,8/15/1977,F,50.883333,-109.55,1,50.883333,-109.55,1
LASIURUS,CINEREUS,8/16/1976,M,50.4,-105.55,1,50.391082,-105.540428,3
LASIURUS,CINEREUS,8/25/1982,F,52.133333,-106.666667,1,52.123713,-106.651981,1
LASIURUS,CINEREUS,9/1/1934,F,49.65,-108.416667,1,49.65,-108.416667,1
LASIURUS,CINEREUS,9/12/1977,F,51.416667,-106.6,1,51.416667,-106.6,1
LASIURUS,CINEREUS,9/17/1977,M,52.05,-107.983333,1,52.05,-107.983333,1
LASIURUS,CINEREUS,7/6/1980,M,31.034282,-115.46491,5,30.890296,-115.45603,5
LASIURUS,CINEREUS,4/17/2025,M,30.866667,-115.766667,3,30.880253,-115.706425,1
LASIURUS,CINEREUS,4/18/2025,M,30.866667,-115.766667,3,30.880253,-115.706425,1
LASIURUS,CINEREUS,4/26/1992,F,28.916667,-113.533333,3,28.94779,-113.559798,1
LASIURUS,CINEREUS,7/5/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/5/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/5/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
